1,2,3
6.6827,11.8,2673.1
22.309,323.6,8923.6
41.16,1996.5,16464
49.928,1065.1,19971
54.17,1353.5,21668
65.462,1059.9,26185
66.551,1635.6,26620
68.934,427.4,27573
72.345,1989.2,28938
77.286,1049.8,30914
87.79,288,35116
96.113,579.5,38445
96.456,285.1,38582
105.15,362.3,42061
116.64,898.3,46654
117.74,705.9,47096
121.93,1114.7,48772
137.77,494.4,55107
140.61,1952.8,56246
142.51,2081.1,57006
145.33,377,58132
147.74,2012.6,59097
147.77,2134,59107
159.84,422.7,63936
164.49,412.3,65796
164.74,1380.5,65897
168.46,1449.1,67382
187.64,320.6,75056
204.86,1247.7,81944
212.4,1128.4,84960
274.48,1373.1,1.0979e+005
