1,2,3
109.39,3509.7,2.4067e+005
159.34,3509.7,3.5056e+005
190.45,4095.4,4.19e+005
209.24,2087.9,4.6033e+005
218.38,3925.4,4.8043e+005
335.19,3509.7,7.3743e+005
391.1,3509.7,8.6042e+005
402.54,3003.2,8.8559e+005
457.47,5476.6,1.0064e+006
594.25,5476.6,1.3074e+006
733.41,3925.4,1.6135e+006
741.62,3925.4,1.6316e+006
807.58,4689.3,1.7767e+006
899.66,3925.4,1.9793e+006
933.37,7653.9,2.0534e+006
935.47,5026.4,2.058e+006
967.45,3738.7,2.1284e+006
1013.8,5385.9,2.2304e+006
1100.1,5441.5,2.4203e+006
1152.4,4689.3,2.5352e+006
1172,5026.4,2.5784e+006
1253.7,4795.7,2.7581e+006
1338.2,6249.1,2.944e+006
1543.9,8914.4,3.3966e+006
1677.1,5903.4,3.6895e+006
1681.1,8426.7,3.6985e+006
1740.5,8487.1,3.8291e+006
1880.4,9019.4,4.1369e+006
1887.2,7422.4,4.1519e+006
2069.6,11537,4.5531e+006
2211.9,12350,4.8662e+006
2220.4,31728,4.8849e+006
2278.8,14468,5.0134e+006
2326.3,11969,5.118e+006
2350.8,10375,5.1717e+006
2427.8,13788,5.3412e+006
2430.3,11824,5.3466e+006
2455,9787.2,5.4011e+006
2596.5,39103,5.7123e+006
2634.7,11918,5.7964e+006
3042.9,13338,6.6943e+006
3141.5,22963,6.9113e+006
3256.7,15170,7.1646e+006
3321.5,18112,7.3072e+006
3626.2,15298,7.9777e+006
4695,45362,1.0329e+007
5224.3,43373,1.1494e+007
7269.3,35070,1.5993e+007
8272.1,37446,1.8199e+007
10002,90314,2.2005e+007
10758,54455,2.3667e+007
11633,49861,2.5592e+007
15723,67738,3.459e+007
19294,90992,4.2448e+007
