1,2,3
540.21,1340.8,1.1885e+006
822.56,3885.8,1.8096e+006
994.8,84624,2.1886e+006
1029,3902.9,2.2638e+006
1069,33834,2.3518e+006
1330.1,3543.7,2.9261e+006
1391.5,3841.4,3.0614e+006
1447.1,4080.7,3.1835e+006
1458.6,7484.6,3.209e+006
1510.4,4756.4,3.3229e+006
1636.2,4663.3,3.5996e+006
1742.4,6647.6,3.8332e+006
1871,4927.9,4.1162e+006
2008,6503.2,4.4177e+006
2069.2,5884.7,4.5523e+006
2356.9,9217,5.1852e+006
2550.9,7840.6,5.6121e+006
2731.1,9788.2,6.0085e+006
2751.8,8507.6,6.054e+006
3026,8882.6,6.6572e+006
3362.9,21072,7.3983e+006
3575.2,28702,7.8655e+006
3792.4,10008,8.3433e+006
3858.3,10464,8.4884e+006
4319.6,5886.9,3.9741e+006
4393.2,12346,9.6651e+006
4560.5,14546,1.0033e+007
4620.1,13773,1.0164e+007
4756.6,13162,1.0465e+007
5201.8,21448,1.1444e+007
5405.9,15430,1.1893e+007
6113.7,18902,1.345e+007
6196.5,15294,1.3632e+007
7144.8,40816,1.5719e+007
8554.3,39679,1.882e+007
8716.6,9898.2,8.0193e+006
9415.7,11452,8.6625e+006
10201,11947,9.3846e+006
11284,41665,1.0381e+007
11937,44841,2.6261e+007
12529,34534,2.7564e+007
13838,37321,3.0443e+007
16550,86205,3.6411e+007
19343,50220,4.2554e+007
44263,54277,4.0722e+007
