@relation ApSpringFinal1_clustered

@attribute Instance_number numeric
@attribute 1 numeric
@attribute 2 numeric
@attribute 3 numeric
@attribute Cluster {cluster0,cluster1,cluster2,cluster3}

@data
0,7.2209,177.1,5256.8,?
1,32.324,2022,23532,cluster0
2,65.913,1308,47984,cluster0
3,70.164,338.3,51079,cluster0
4,74.589,1956.6,54301,cluster0
5,78.736,2407.3,57320,cluster0
6,79.704,1893.2,58024,cluster0
7,80.258,682,58428,cluster0
8,81.52,1979.1,59347,cluster0
9,83.819,1255.6,61020,cluster0
10,85.945,1359.3,62568,cluster0
11,88.644,1307.3,64533,cluster0
12,91.188,2074.7,66385,cluster0
13,94.32,2135.2,68665,cluster0
14,96.48,1510.4,70237,cluster0
15,104.25,1137.1,75896,cluster0
16,107.42,1542.6,78199,cluster0
17,110.34,1203.2,80327,cluster0
18,111.63,1980.7,81266,cluster0
19,117.81,1880.1,85762,cluster0
20,123.19,920,89685,cluster0
21,123.27,1481.5,89741,cluster0
22,131.11,1685.5,95449,cluster0
23,141.33,776.83,102890,cluster0
24,146.06,3212.2,106330,?
25,147.7,2123,107530,cluster0
26,148.82,1651.5,108340,cluster0
27,195.76,2624.1,142520,cluster1
28,195.82,1816.8,142550,cluster2
29,210.28,1338,153090,cluster2
30,223.64,2354.8,162810,cluster1
31,229.25,1071.4,166900,cluster2
32,236.66,2620.8,172290,cluster1
33,237.12,1517.4,172620,cluster2
34,300.56,2022,218810,cluster3
35,318.37,2617.3,231770,cluster3
36,341.85,2314,248870,cluster3
