@relation ShopSpring_clustered

@attribute Instance_number numeric
@attribute 1 numeric
@attribute 2 numeric
@attribute 3 numeric
@attribute Cluster {cluster0,cluster1,cluster2,cluster3,cluster4}

@data
0,109.39,3509.7,240670,cluster0
1,159.34,3509.7,350560,cluster0
2,190.45,4095.4,419000,cluster0
3,209.24,2087.9,460330,cluster0
4,218.38,3925.4,480430,cluster0
5,335.19,3509.7,737430,cluster0
6,391.1,3509.7,860420,cluster0
7,402.54,3003.2,885590,cluster0
8,457.47,5476.6,1006400,cluster0
9,594.25,5476.6,1307400,cluster0
10,733.41,3925.4,1613500,cluster0
11,741.62,3925.4,1631600,cluster0
12,807.58,4689.3,1776700,cluster0
13,899.66,3925.4,1979300,cluster0
14,933.37,7653.9,2053400,cluster0
15,935.47,5026.4,2058000,cluster0
16,967.45,3738.7,2128400,cluster0
17,1013.8,5385.9,2230400,cluster0
18,1100.1,5441.5,2420300,cluster0
19,1152.4,4689.3,2535200,cluster0
20,1172,5026.4,2578400,cluster0
21,1253.7,4795.7,2758100,cluster0
22,1338.2,6249.1,2944000,cluster0
23,1543.9,8914.4,3396600,cluster0
24,1677.1,5903.4,3689500,cluster0
25,1681.1,8426.7,3698500,cluster0
26,1740.5,8487.1,3829100,cluster0
27,1880.4,9019.4,4136900,cluster0
28,1887.2,7422.4,4151900,cluster0
29,2069.6,11537,4553100,cluster0
30,2211.9,12350,4866200,cluster0
31,2220.4,31728,4884900,cluster1
32,2278.8,14468,5013400,cluster0
33,2326.3,11969,5118000,cluster0
34,2350.8,10375,5171700,cluster0
35,2427.8,13788,5341200,cluster0
36,2430.3,11824,5346600,cluster0
37,2455,9787.2,5401100,cluster0
38,2596.5,39103,5712300,cluster1
39,2634.7,11918,5796400,cluster0
40,3042.9,13338,6694300,cluster0
41,3141.5,22963,6911300,cluster0
42,3256.7,15170,7164600,cluster0
43,3321.5,18112,7307200,cluster0
44,3626.2,15298,7977700,cluster0
45,4695,45362,10329000,cluster2
46,5224.3,43373,11494000,cluster2
47,7269.3,35070,15993000,cluster3
48,8272.1,37446,18199000,cluster3
49,10002,90314,22005000,?
50,10758,54455,23667000,cluster4
51,11633,49861,25592000,cluster4
52,15723,67738,34590000,?
53,19294,90992,42448000,?
