@relation ShopSummer_clustered

@attribute Instance_number numeric
@attribute 1 numeric
@attribute 2 numeric
@attribute 3 numeric
@attribute Cluster {cluster0,cluster1}

@data
0,540.21,1340.8,1188500,cluster1
1,822.56,3885.8,1809600,cluster1
2,994.8,84624,2188600,cluster0
3,1029,3902.9,2263800,cluster1
4,1069,33834,2351800,cluster0
5,1330.1,3543.7,2926100,cluster1
6,1391.5,3841.4,3061400,cluster1
7,1447.1,4080.7,3183500,cluster1
8,1458.6,7484.6,3209000,cluster1
9,1510.4,4756.4,3322900,cluster1
10,1636.2,4663.3,3599600,cluster1
11,1742.4,6647.6,3833200,cluster1
12,1871,4927.9,4116200,cluster1
13,2008,6503.2,4417700,cluster1
14,2069.2,5884.7,4552300,cluster1
15,2356.9,9217,5185200,cluster1
16,2550.9,7840.6,5612100,cluster1
17,2731.1,9788.2,6008500,cluster1
18,2751.8,8507.6,6054000,cluster1
19,3026,8882.6,6657200,cluster1
20,3362.9,21072,7398300,cluster1
21,3575.2,28702,7865500,cluster1
22,3792.4,10008,8343300,cluster1
23,3858.3,10464,8488400,cluster1
24,4319.6,5886.9,3974100,cluster1
25,4393.2,12346,9665100,cluster1
26,4560.5,14546,10033000,cluster1
27,4620.1,13773,10164000,cluster1
28,4756.6,13162,10465000,cluster1
29,5201.8,21448,11444000,cluster1
30,5405.9,15430,11893000,cluster1
31,6113.7,18902,13450000,cluster1
32,6196.5,15294,13632000,cluster1
33,7144.8,40816,15719000,cluster0
34,8554.3,39679,18820000,cluster0
35,8716.6,9898.2,8019300,cluster1
36,9415.7,11452,8662500,cluster1
37,10201,11947,9384600,cluster1
38,11284,41665,10381000,cluster0
39,11937,44841,26261000,cluster0
40,12529,34534,27564000,cluster0
41,13838,37321,30443000,cluster0
42,16550,86205,36411000,cluster0
43,19343,50220,42554000,cluster0
44,44263,54277,40722000,cluster0
