UserID,R,F,M
14,10,2,776.26
19,348,1,73.11
33,81,2,487.38998
43,335,1,166.38
62,131,4,1376.92
67,3,10,3660.09
77,151,1,128.16
80,27,2,1257.1399
106,58,4,1369.76
118,0,5,925.6099
138,33,29,11384.871
147,4,22,4178.1597
155,187,2,2605.0398
176,13,1,284.03
190,26,9,5376.2188
210,130,1,88.24
213,39,2,-113.02
218,257,1,2037.82
219,9,7,2606.7102
222,124,4,505.46
226,193,3,3470.58
241,0,16,10092.41
259,1,10,7936.7393
292,19,1,117.65
309,35,12,1551.9807
334,298,1,294.12
336,14,2,1654.62
363,103,1,130.25
370,7,17,8052.119
376,125,3,779.82996
379,117,1,378.15
380,172,4,1431.9298
391,39,8,6196.6396
412,18,9,5285.2793
423,225,3,2831.0898
427,39,2,1663.87
428,175,1,511.76
454,162,3,649.57
473,74,5,300.41998
481,186,3,1957.98
493,47,1,159.66
495,1,48,44642.406
496,359,1,78.99
497,319,1,1743.7
509,2,20,9000.528
519,224,1,79.83
538,69,3,521.01
541,355,1,115.97
545,127,3,604.20996
552,29,6,3102.9204
560,4,5,298.33
562,1,3,738.23
570,127,2,798.74
575,4,3,2993.27
578,8,3,307.56
579,113,8,1286.56
582,10,8,4029.44
584,356,1,226.89
585,41,3,684.87994
595,1,13,6468.2793
597,76,18,19267.24
631,56,8,1313.39
635,29,1,773.11
661,19,15,9936.9795
672,347,1,758.82
673,96,5,4823.54
683,172,5,1432.79
689,1,17,3683.6301
693,145,6,2685.72
724,350,1,292.01
726,169,2,110.91
727,13,1,123.53
728,53,8,16688.889
730,235,1,2613.44
744,348,1,131.09
750,222,3,138.67
758,18,6,2026.05
761,4,15,23121.838
787,93,2,100.84
788,267,3,430.24002
804,274,3,1263.02
817,0,3,401.26
829,322,1,989.08
836,29,13,7761.3604
838,147,8,3187.45
856,270,1,27.730003
870,22,13,9245.79
888,144,3,683.62
892,67,1,88.24
918,1,39,21397.098
928,253,1,225.20999
930,18,15,4140.3604
939,156,2,179.42
974,0,1,402.94
975,67,7,3180.39
987,146,2,279.83002
992,361,1,264.71
1000,131,2,588.24
1001,81,3,698.32
1005,165,13,4204.7495
1006,145,1,119.32
1009,153,4,738.66003
1013,148,1,130.25
1017,46,2,669.74
1021,356,2,2193.26
1027,35,1,105.04
1039,29,4,12011.751
1050,170,2,1820.16
1062,81,6,4863.0205
1071,183,4,1242.86
1097,54,1,378.15
1103,1,18,6552.93
1106,15,11,2114.5
1111,324,1,60.92
1149,27,7,3978.1904
1152,176,8,2712.18
1168,84,1,1050.42
1183,280,2,107.55999
1196,252,1,647.05
1197,348,2,330.25
1208,145,2,133.61
1209,345,1,520.16
1232,3,60,21620.52
1234,26,4,5187.81
1242,127,4,2603.7798
1264,4,2,1343.7001
1268,188,1,752.1
1285,175,2,305.89
1295,15,14,11287.39
1297,208,8,22707.52
1301,68,11,5837.8003
1308,11,14,2892.44
1309,173,4,3000.8496
1314,195,3,2310.93
1318,28,17,6821.46
1321,20,7,2168.4902
1324,327,1,428.57
1328,252,4,2372.26
1341,55,8,7037.8003
1346,12,1,190.76
1351,18,1,14.709999
1374,153,1,268.91
1385,0,7,2424.8
1393,174,2,610.08
1394,358,1,78.15
1400,10,5,2975.6104
1413,0,28,18018.088
1418,331,1,368.07
1420,321,1,325.21
1424,53,3,189.08
1427,13,4,900.84
1432,81,1,14920.201
1440,265,3,741.17
1443,76,11,8169.76
1450,12,3,1078.15
1461,88,1,717.64
1462,54,2,268.91
1463,179,2,1018.50995
1487,25,2,533.61
1491,34,14,8518.069
1496,8,1,72.69
1502,0,3,324.37
1510,132,2,815.13
1515,354,1,340.34
1518,40,9,2950.42
1528,348,1,511.76
1543,18,2,957.97
1547,46,3,1899.5701
1548,223,1,50.42
1549,54,5,739.91
1550,32,2,3077.32
1566,125,1,201.68
1580,328,1,88.24
1582,151,3,837.82007
1587,49,2,2567.23
1598,141,1,58.82
1599,37,1,1210.0801
1610,11,7,5846.1997
1613,162,2,149.16
1615,175,1,211.76999
1626,13,9,7193.5103
1637,104,1,36.55
1675,16,7,7769.33
1685,263,4,1989.92
1700,200,2,180.67001
1703,62,3,970.58997
1717,88,4,1291.61
1726,8,2,3076.4802
1735,117,6,564.70996
1737,32,4,1319.35
1749,160,2,1164.71
1751,98,4,3231.93
1760,95,6,3668.07
1767,128,7,588.2501
1788,96,1,1273.11
1794,349,1,85.71
1798,68,8,13188.25
1802,0,6,1027.73
1814,321,2,821.85004
1820,25,8,3094.5403
1831,0,6,930.24005
1836,67,4,1313.8601
1843,13,4,1606.72
1849,264,1,0
1855,9,1,105.04
1856,60,3,348.73
1862,161,2,183.84
1864,135,2,174.79999
1867,7,9,13232.37
1871,1,8,1101.69
1882,130,1,632.77
1920,1,9,5395.8105
1926,335,1,210.08
1933,23,8,1068.08
1936,81,5,552.1
1943,347,1,12.600002
1946,12,27,19347.871
1960,27,32,24092.867
1967,329,1,20.17
1968,134,2,592.44
1983,13,6,2794.41
1989,207,1,126.05
2011,229,1,281.51
2042,146,1,72.27
2076,81,3,1596.84
2080,168,4,1552.1
2081,182,1,56.72
2092,181,3,689.07996
2094,113,4,1126.0599
2112,88,3,621.86
2120,61,5,2326.48
2138,173,5,340.34
2141,349,1,189.08
2146,13,1,182.35
2162,2,30,8710.489
2171,12,25,8878.988
2178,193,3,1972.26
2186,18,1,105.88
2201,351,1,143.7
2213,351,1,581.5
2216,4,6,2465.1301
2229,158,2,165.13
2235,180,3,6349.6094
2237,214,1,172.27
2243,162,1,368.07
2246,249,1,1004.2
2249,345,2,115.119995
2258,349,2,1831.1001
2261,9,2,640.75995
2262,26,7,1968.9199
2268,84,2,1831.9299
2272,349,1,63.03
2275,184,1,172.27
2279,26,1,159.66
2284,120,10,1600.0001
2297,291,2,944.54004
2298,7,2,1404.21
2304,2,35,7396.6597
2308,32,1,42.02
2310,154,1,1341.1699
2316,70,4,1174.79
2318,0,29,12081.312
2320,0,12,1683.55
2338,177,1,93.28
2348,263,1,391.59
2384,270,1,105.04
2388,40,34,7864.699
2395,10,11,5441.1895
2397,209,1,84.03
2399,357,1,292.44
2432,167,1,194.12
2443,57,2,2773.95
2464,9,7,3808.5603
2468,0,9,42657.527
2538,12,4,4491.2397
2555,0,5,659.66003
2570,2,1,3840.76
2580,168,10,1002.1
2589,165,1,50.42
2594,1,1,115.97
2597,14,28,13369.281
2598,29,3,226.89
2605,356,1,0
2616,14,5,3831.08
2625,179,2,721.01
2626,1,11,2558.3801
2632,54,1,50.42
2633,246,2,185.72
2637,7,19,7315.9907
2645,120,4,1738.6699
2651,2,9,1325.2101
2658,9,15,6781.47
2671,207,1,159.66
2681,62,4,1022.27997
2698,350,1,380.67
2714,144,2,1416.81
2717,43,1,252.1
2726,222,1,67.23
2727,141,2,588.67
2735,85,2,0
2744,260,2,410.93002
2747,162,2,118.49
2752,354,2,443.69998
2753,15,5,2139.52
2762,160,1,827.73
2770,354,1,728.57
2798,321,1,73.11
2825,177,4,2156.3
2849,271,1,96.64
2850,159,2,510.08002
2864,202,5,1624.3801
2866,110,4,61.35003
2882,118,2,65.13
2892,46,4,815.97003
2909,15,27,5935.26
2927,259,2,2561.34
2948,10,11,4299.14
2968,168,3,4474.81
2978,327,1,392.86
2990,209,1,1042.02
2993,257,1,907.57
3008,341,2,347.06
3024,25,19,5917.22
3026,1,8,12906.291
3038,105,1,63.87
3039,166,10,4062.9998
3050,341,1,45.379997
3058,9,24,33099.184
3072,8,17,8105.02
3073,10,24,5047.8804
3078,13,44,32463.527
3089,32,3,536.97
3095,340,1,-15.130005
3121,20,8,2863.45
3175,190,3,1260.5099
3177,341,1,181.51
3180,256,3,1206.72
3183,334,1,314.28
3192,180,4,131.09999
3200,10,1,46.22
3225,337,1,1113.4401
3231,19,1,79.41
3250,291,1,134.45
3275,216,4,595.79
3285,47,1,210.08
3299,341,2,197.48
3302,324,1,312.6
3335,12,5,1030.26
3347,310,1,584.87
3357,180,2,536.14
3360,351,1,786.55
3385,242,1,63.03
3391,222,1,207.98
3394,322,1,50.42
3398,142,2,670.86
3402,254,3,375.63
3415,158,2,2570.16
3418,1,6,588.24
3420,194,1,58.82
3424,1,1,48.739998
3426,103,2,528.58997
3470,22,26,27526.885
3477,151,3,97.48
3480,302,2,238.66
3484,344,1,37.82
3488,246,4,698.32996
3489,351,1,151.26001
3503,4,2,1134.4601
3504,236,1,668.06
3519,159,2,239.5
3524,176,2,1048.74
3528,77,4,924.46
3531,251,1,121.85
3534,305,1,98.32
3563,12,1,291.18
3564,130,4,3929.83
3599,2,24,10421.439
3604,158,1,134.46
3607,123,1,105.88
3635,34,19,6784.4805
3643,55,4,612.60004
3650,165,5,874.79004
3653,341,2,471.44
3663,204,1,56.72
3670,135,6,94.95
3676,8,51,22317.719
3682,319,2,204.2
3694,319,1,83.19
3711,9,3,1564.29
3712,302,1,84.04
3722,173,1,-147.06
3726,4,2,434.45
3758,95,1,1.52588E-05
3759,2,3,1493.2799
3773,8,6,1908.8301
3789,145,2,0
3792,316,2,243.7
3823,157,1,287.39
3826,209,1,651.26
3832,56,2,915.95996
3840,214,1,215.95999
3846,21,12,17182.36
3852,0,5,526.47
3859,1,11,4577.73
3862,151,2,785.72
3870,162,3,123.100006
3874,75,1,268.49
3879,9,4,12652.941
3889,109,1,327.73
3894,320,1,768.9101
3896,8,9,5499.98
3915,167,3,751.26
3922,357,1,2176.47
3928,3,2,2005.0399
3940,41,3,302.71997
3941,132,1,1491.6
3947,15,15,1995.4001
3956,14,3,2249.58
3970,7,2,565.13
3976,169,7,2662.16
3990,195,2,302.94003
3994,179,1,277.31
4003,362,1,751.26
4008,224,1,205.88
4010,118,1,-42.86
4030,265,1,1021.01
4038,18,12,4371.1597
4048,176,5,4420.1597
4054,53,1,63.03
4061,119,3,119.75
4113,189,1,84.03
4141,181,1,189.08
